#carbons/molecule,#hydrogens/molecule,# valence electrons / molecule,#bonds / molecule,#total particles/molecule,bonds/particle,molecular (nuclear) weight,entropy S (298K) (J/mol/K),entropy S (298K) (J/g/K),formation entropy Sf (298K) (J/mol/K),formation entropy Sf (298K) (J/g/K),formation enthalpy (298K) (kJ/mol),formation enthalpy (298K) (kJ/g),formation Gibbs (298K) (kJ/mol) (dG = dH – TdS),formation Gibbs (298K) (kJ/g) (dG = dH – TdS),formation free entropy (298K) (J/mol/K),formation free entropy (298K) (J/g/K),Standard molar entropy / mol of bonds (J / mol / K),standard molar entropy of formation per mol of bonds (298K) (J/mol/K),standard molar enthalpy of formation / mol of bonds (298K) (kJ/mol),standard molar free entropy of formation / mol of bonds (298K) (J/mol/K),standard molar entropy / mol of valence electrons (298K) (J/mol/K),Standard molar molar entropy of formation / mol of valence electrons (298K) (J/mol/K),Standard molar free entropy of formation per mol of valence electrons (298K) (J/mol/K),Standard molar enthalpy of formation / mol of valence electrons (298K) (kJ/mol),standard molar entropy / carbons (298K) (J/mol/K),standard molar entropy of formation / mol of carbon atoms (J/mol/K),standard molar enthalpy of formation / mol of carbon atoms (298K) (kJ/mol),Standard molar free entropy of formation / mol of carbon atoms (298K) (J/mol/K),standard molar entropy / mol of particles (298K) (J/mol/K),standard molar entropy of formation / mol of particles (298K) (J/mol/K),standard molar enthalpy of formation / mol of particles (298K) (kJ/mol),Standard molar free entropy of formation / mol of particles (298K) (J/mol/K),standard molar entropy / molar of hydrogen atoms (J/mol/K) (298K),standard molar entropy of formation / mol of hydrogen atoms (J/mol/K) (298K),standard molar enthalpy of formation / mol of hydrogen atoms,standard molar free entropy of formation / mol of hydrogen atoms,standard molar entropy / mol / nuclear weight (J / g / K),standard molar entropy of formation / mol / nuclear weight  (J / g / K),standard molar enthalpy of formation / mol / nuclear weight (kJ / g / K),standard molar free entropy of formation / mol / nuclear weight (J / g / K)
6,6,30,15,120,0.125,78.12,269.9,3.45494111623144,-156.592,-2.00450588837686,14.4,0.184331797235023,61.064416,0.781674551971326,204.9141477,2.62306896697389,17.99333333,-10.43946667,0.96,13.66094318,8.996666667,-5.219733333,6.830471588,0.48,44.98333333,-26.09866667,2.4,34.15235794,2.249166667,-1.304933333,0.12,1.707617897,44.98333333,-26.09866667,2.4,34.15235794,3.454941116,-2.004505888,0.1843317972,2.623068966
6,5,29,14,118,0.1186440678,77.11,289.8,3.75826741019323,-136.692,-1.77268836726754,14.4,0.186746206717676,55.134216,0.715007340163403,185.0141477,2.39935349111659,20.7,-9.763714286,1.028571429,13.21529626,9.993103448,-4.713517241,6.379798195,0.4965517241,48.3,-22.782,2.4,30.83569128,2.455932203,-1.15840678,0.1220338983,1.567916506,57.96,-27.3384,2.88,37.00282953,57.96,-27.3384,2.88,37.00282953
8,6,38,19,156,0.1217948718,102.14,329.8,3.22890150773448,-96.692,-0.946661445075387,19.9,0.194830624632857,48.714216,0.476935735265322,163.4705235,1.60045548756609,17.35789474,-5.089052632,1.047368421,8.603711763,8.678947368,-2.544526316,4.301855881,0.5236842105,41.225,-12.0865,2.4875,20.43381544,2.114102564,-0.6198205128,0.1275641026,1.047887971,54.96666667,-16.11533333,3.316666667,27.24508725,54.96666667,-16.11533333,3.316666667,27.24508725
8,5,37,18,154,0.1168831169,101.13,341.4,3.37585286265203,-85.092,-0.841412043903886,19.9,0.196776426381885,45.257416,0.447517215465243,151.8705235,1.50173562246613,18.96666667,-4.727333333,1.105555556,8.437251305,9.227027027,-2.299783784,4.104608743,0.5378378378,42.675,-10.6365,2.4875,18.98381544,2.216883117,-0.5525454545,0.1292207792,0.9861722305,68.28,-17.0184,3.98,30.3741047,68.28,-17.0184,3.98,30.3741047
8,5,37,18,154,0.1168831169,101.13,340.7,3.36893107880945,-85.792,-0.848333827746465,19.8,0.195787600118659,45.366016,0.448591080787106,152.234953,1.50533919707307,18.92777778,-4.766222222,1.1,8.45749739,9.208108108,-2.318702703,4.11445819,0.5351351351,42.5875,-10.724,2.475,19.02936913,2.212337662,-0.5570909091,0.1285714286,0.988538656,68.14,-17.1584,3.96,30.4469906,68.14,-17.1584,3.96,30.4469906
8,5,37,18,154,0.1168831169,101.13,334.7,3.30960150301592,-91.792,-0.907663403539998,19.8,0.195787600118659,47.154016,0.466271294373579,158.234953,1.56466877286661,18.59444444,-5.099555556,1.1,8.790830723,9.045945946,-2.480864865,4.276620352,0.5351351351,41.8375,-11.474,2.475,19.77936913,2.173376623,-0.5960519481,0.1285714286,1.027499695,66.94,-18.3584,3.96,31.6469906,66.94,-18.3584,3.96,31.6469906
8,8,40,20,160,0.125,104.16,345.7,3.31893241167435,-80.792,-0.775652841781874,20.4,0.195852534562212,44.476016,0.42699708141321,149.2483758,1.43287611175115,17.285,-4.0396,1.02,7.462418792,8.6425,-2.0198,3.731209396,0.51,43.2125,-10.099,2.55,18.65604698,2.160625,-0.50495,0.1275,0.932802349,43.2125,-10.099,2.55,18.65604698,43.2125,-10.099,2.55,18.65604698
8,7,39,19,158,0.1202531646,103.15,350,3.39311682016481,-76.492,-0.741560833737276,21.5,0.208434318952981,44.294616,0.429419447406689,148.639651,1.44100485700436,18.42105263,-4.025894737,1.131578947,7.823139527,8.974358974,-1.961333333,3.811273103,0.5512820513,43.75,-9.5615,2.6875,18.57995638,2.215189873,-0.4841265823,0.1360759494,0.9407572849,50,-10.92742857,3.071428571,21.23423586,50,-10.92742857,3.071428571,21.23423586
8,7,39,19,158,0.1202531646,103.15,350.1,3.39408628211343,-76.392,-0.740591371788657,21,0.203587009209889,43.764816,0.424283238002908,146.8617987,1.42376925545322,18.42631579,-4.020631579,1.105263158,7.72956835,8.976923077,-1.958769231,3.765687145,0.5384615385,43.7625,-9.549,2.625,18.35772483,2.215822785,-0.4834936709,0.1329113924,0.9295050548,50.01428571,-10.91314286,3,20.98025695,50.01428571,-10.91314286,3,20.98025695
8,7,39,19,158,0.1202531646,103.15,357.1,3.46194861851672,-69.392,-0.672729035385361,20.9,0.20261754726127,41.578816,0.403090799806108,139.5262282,1.35265369074164,18.79473684,-3.652210526,1.1,7.343485694,9.156410256,-1.779282051,3.577595595,0.5358974359,44.6375,-8.674,2.6125,17.44077852,2.260126582,-0.4391898734,0.132278481,0.8830773936,51.01428571,-9.913142857,2.985714286,19.93231831,51.01428571,-9.913142857,2.985714286,19.93231831
